metricHash,metricInfo
e11139eeccb568d322f8b0946e64edbb3df420eb,"{'cpu': '0', '__name__': 'node_cpu_seconds_total', 'job': 'node', 'instance': '192.168.0.107:9100', 'mode': 'iowait'}"
b8c1dca6e08238ff9dd8093c03abacfae0dd8fd1,"{'__name__': 'node_scrape_collector_duration_seconds', 'collector': 'edac', 'job': 'node', 'instance': '192.168.0.107:9100'}"
65773f783dc4b088c1a0046d7da528a9c66b9a0c,"{'__name__': 'node_procs_running', 'job': 'node', 'instance': '192.168.0.113:9100'}"
83305501c31ad2c43a85eb1a685ec909df53b25f,"{'__name__': 'node_network_transmit_bytes_total', 'job': 'node', 'device': 'lo', 'instance': '192.168.0.116:9100'}"
42bae01fb2c7640d638eefe7d44f166271ceb771,"{'__name__': 'node_scrape_collector_duration_seconds', 'collector': 'meminfo', 'job': 'node', 'instance': '192.168.0.109:9100'}"
b2b3fdb5a50af3cbaa9569aaf06bc609396115d8,"{'__name__': 'node_scrape_collector_duration_seconds', 'collector': 'edac', 'job': 'node', 'instance': '192.168.0.116:9100'}"
c1cad729a04a4384327015f5ce33ce0861d71104,"{'cpu': '0', '__name__': 'node_cpu_seconds_total', 'job': 'node', 'instance': '192.168.0.107:9100', 'mode': 'softirq'}"
b96be9cdd32d8599390275bcbcff9d80b453502c,"{'__name__': 'node_disk_read_bytes_total', 'job': 'node', 'device': 'vda', 'instance': '192.168.0.113:9100'}"
10f1bbebc1ba5999e201a20af8afa89bdbfb01d2,"{'__name__': 'node_memory_AnonPages_bytes', 'job': 'node', 'instance': '192.168.0.109:9100'}"
bd16f55214f3705f14fd6de7c8557b8ebfe4aae4,"{'__name__': 'node_netstat_Tcp_CurrEstab', 'job': 'node', 'instance': '192.168.0.107:9100'}"
ea1bea2e1dbbc4c200eb8edfbe5bf64740e3acea,"{'__name__': 'node_context_switches_total', 'job': 'node', 'instance': '192.168.0.107:9100'}"
85256a233ed2adaf109d2f82a3b484711ed3e1a6,"{'__name__': 'node_memory_MemFree_bytes', 'job': 'node', 'instance': '192.168.0.116:9100'}"
4ceefe873fa2f3980ff8cae6102c5722ebd92fbd,"{'__name__': 'node_vmstat_pgfault', 'job': 'node', 'instance': '192.168.0.107:9100'}"
fcadd09b77af24a58a81ddadbb11ddbad229dd3c,"{'__name__': 'node_scrape_collector_duration_seconds', 'collector': 'sockstat', 'job': 'node', 'instance': '192.168.0.116:9100'}"
167a19effbeb53c9a8b783356c575b22613be5e3,"{'__name__': 'node_network_transmit_packets_total', 'job': 'node', 'device': 'lo', 'instance': '192.168.0.113:9100'}"
82a0b06cd2c1bb9945b9641724a87223f0265f53,"{'cpu': '0', '__name__': 'node_cpu_seconds_total', 'job': 'node', 'instance': '192.168.0.109:9100', 'mode': 'user'}"
